given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id record
matthwew,apted,18.0,atherton srteet,currumb in hill,port macquarie,3183,vic,19590825.0,9425976,B_0
william,badger,,dwyer s treet,glenlee,west lakes shore,3291,nsw,19001210.0,4656608,B_1
connor,bailke,186.0,lambie place,,port lincoln,7303,qld,19670529.0,4702335,B_2
kaitlin,goldsworthy,54.0,,,thirroul,2035,nsw,19640517.0,9127277,B_3
jasmyn,lowe,48.0,toohey place,grand ecntral,bicton,3085,nsw,19320918.0,1430128,B_4
joshua,coleman,16.0,mosman place,aarlee,koouong,3432,nsw,19501024.0,2640319,B_5
calbe,newberry,14.0,mackenziestreet,mountainview retirement vlge,emerald,2560,sa,19211203.0,1454125,B_6
beloma,griersn,27.0,priddle street,green lagoon,christiesbeach,3152,vic,19310623.0,5872915,B_7
robbie,carmody,34.0,bernacchi street,melita,east fremantle,2170,qld,19391211.0,8441818,B_8
,tholrn,66.0,keithstreet,ocean sta r villas,beenleigh,6107,vic,19550703.0,6047972,B_9
caittin,hingsyton,29.0,braine street,,wilalgee,6200,,19980805.0,7044257,B_10
maddison,mahon,62.0,ellenborlugh street,brentwood vlge,east gordon,2224,qld,19381111.0,9648098,B_11
brokengshire,rosie,34.0,antill street,hse13,athelstone,2042,qld,19770815.0,3921318,B_12
cjleb,,19.0,burrinjuck crescent,garema place surgery,st andrews,2154,wa,19381026.0,3166758,B_13
catyn,millar,38.0,tullaroop s treet,,macgregor,2343,vic,19940917.0,8863827,B_14
georgia,demetriou,17.0,canberra avenue,,ballina,3871,nsw,19200828.0,1391870,B_15
georgia,vaccrao,20.0,rocor,leahy coose,maribyrnong,3124,nsw,19381228.0,2725753,B_16
kristo,white,13.0,evergreen,mchale place,devonport,2050,qld,19790907.0,4175137,B_17
citlin,dolan,55.0,lawrence wacke tt crescent,garden settlement,beaumaris,2193,wa,19571211.0,7745058,B_18
kyle,leane,13.0,warrol,macarthur avenue,booragul,2200,nsw,19770320.0,7924874,B_19
roles,kierra,22.0,musson close,,coledale,3977,wa,19650919.0,8518344,B_20
william,paru,46.0,stieglitz circuit,,coromandel valley,6210,qld,19100815.0,1269870,B_21
brooke,harrinhton,88.0,badenoch crescent,,lockleys,3042,wa,19910123.0,4738674,B_22
tylee,berryman,223.0,broad place,villai3,clayton,6355,vic,19901803.0,2531288,B_23
jacob,webb,6.0,majura road,moline ivllage,ashfield,4352,tas,19470221.0,1586712,B_24
gao,julia,17.0,horizon avenue,arthur rvier park,woodrcoft,3952,nw,19280810.0,7151454,B_25
leslie,nichllas,10.0,de little circuit,retirement xvillage,daisy hill,4802,nsw,19691231.0,9490741,B_26
douglas,fitzpatrick,16.0,booroondara street,shadoof lodge,toodyay,2148,vic,19050428.0,2826631,B_27
isabelle,bullock,10.0,,eden park,henty,2212,nsw,19921028.0,5801283,B_28
isabella,orm,125.0,officer crescent,,sandgate,2190,nsw,19471012.0,5078422,B_29
adam,clarkde,3.0,skinnerstreet,kona,woodcroft,4878,wa,,7112414,B_30
rolliqns,ashleigh,22.0,mcrae place,mansfie l dpark,dato,4672,tfs,19180307.0,4706557,B_31
madeline,mahon,27.0,medworth crxescent,,roseud,3107,sa,19970711.0,8911323,B_32
dimitri,hopel,24.0,demainecrescent,canberra centre,port addelaide,2131,nsw,19541110.0,7206463,B_33
jessiac,bastiaans,130.0,beazley crescent,,ingleburn,3029,qld,19270912.0,7965000,B_34
emiily,gedn,19.0,callemonza rise,ocean park towers,semaphore park,4306,qld,19540924.0,1804853,B_35
,bottcoff,5.0,jindivik place,homewood,meringandan,3222,vic,19640816.0,5214622,B_36
,clarke,3.0,hindmarsh drive,,greenwood,2061,sa,19440126.0,8957090,B_37
alana,mcgregor,8.0,chandlergstreet,loughmoer,blue rocks,5081,nsw,19841227.0,3230948,B_38
,sztollc,29.0,berrigan crescent,,rivett,3094,qld,19481217.0,6141781,B_39
cooper,lemke,22.0,albermarle place,iron shoe lodge,thornbury,3802,qld,19881107.0,7332841,B_40
william,colquhoun,955.0,smalley c ircuit,vil la 3,harobfd,2200,vic,19141107.0,1327358,B_41
lauren,ferri,121.0,hedgerstreet,,banypo,3150,wa,19440118.0,9553756,B_42
kirra,okonieewski,11.0,,molyneu xhse,kardinya,5330,nsw,19700823.0,2077704,B_43
tala,rees,13.0,lethbridge street,,brontg,3035,nsw,19800402.0,4895894,B_44
jackon,clareke,1.0,cargelligo street,ummeret,bellevueh ill,3835,qdl,19571105.0,7943648,B_45
chelea,fitzpatrick,33.0,bargang crescent,john flynn mefcial centre,ascot fatory,3976,vic,19710526.0,1038123,B_46
hannah,candida,7.0,santalum street,moorabee,,2030,vic,19210519.0,9787204,B_47
ryan,william,33.0,limbunya street,cherrybank,new farm,4105,nsw,19550514.0,5451157,B_48
tifafny,,26.0,southern closev,westleigh,kirribilli,3437,qld,19860301.0,7929652,B_49
caitlin,dominey,2.0,,kilbutnie,plainby,6018,nsw,19761113.0,3992744,B_50
